iter	Logloss
0	0.5655823767
1	0.478730889
2	0.4239763132
3	0.3855047164
4	0.3538976004
5	0.3336944677
6	0.3187668495
7	0.3065157051
8	0.2992121332
9	0.2926981633
10	0.2879795748
11	0.2850140113
12	0.282219217
13	0.2801298782
14	0.2787713125
15	0.2773469341
16	0.2762404442
17	0.2755135694
18	0.2749321887
19	0.2743106419
20	0.273706801
21	0.2731833023
22	0.2727201467
23	0.2724442963
24	0.2721319717
25	0.2719032097
26	0.2716749755
27	0.2714468221
28	0.2712291088
29	0.2710544633
30	0.2708913821
31	0.2707439663
32	0.2706144276
33	0.270455092
34	0.2703518061
35	0.2702406759
36	0.2701111393
37	0.269945592
38	0.2698538991
39	0.2696911721
40	0.2696006308
41	0.2695242321
42	0.2694414817
43	0.2693669172
44	0.2692564361
45	0.2692052733
46	0.2691466939
47	0.269093457
48	0.269036638
49	0.2689807143
50	0.2688940581
51	0.2688462371
52	0.2687928131
53	0.2687419639
54	0.2686666916
55	0.2686127913
56	0.2685454257
57	0.2685055401
58	0.2684680765
59	0.2683864168
60	0.2683256302
61	0.2682825383
62	0.2682336843
63	0.2681723129
64	0.2681662368
65	0.2680929973
66	0.2680171444
67	0.2679776297
68	0.2679030366
69	0.2678802608
70	0.267834679
71	0.2677791098
72	0.2677364789
73	0.2677058094
74	0.2676789238
75	0.2676525417
76	0.2676228644
77	0.267568459
78	0.267538197
79	0.2675121988
80	0.2674623529
81	0.2674061108
82	0.2673493181
83	0.2673153554
84	0.2672964116
85	0.267267338
86	0.2672445898
87	0.2671976249
88	0.267168683
89	0.2671520371
90	0.2671105302
91	0.2670764239
92	0.26703995
93	0.2669948602
94	0.2669703682
95	0.2669328238
96	0.2668931823
97	0.2668776968
98	0.266848458
99	0.2668165694
100	0.266771041
101	0.2667378051
102	0.2666921882
103	0.2666560195
104	0.2666161351
105	0.266572639
106	0.2665381724
107	0.2664999327
108	0.2664701976
109	0.2664321857
110	0.266400115
111	0.2663771312
112	0.2662873974
